timestamp,machineId,alarmCode,alarmType,severity,description,durationSec,status,operatorAction
2026-07-01T09:15:10,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,165,ACKNOWLEDGED,Paused cycle and checked tool engagement
2026-07-01T09:15:24,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,59,CLEARED,Inspected oil line and topped up reservoir
2026-07-01T09:15:29,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,179,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T09:15:39,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,20,CLEARED,Refilled coolant and restarted pump
2026-07-01T09:15:49,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,20,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T09:16:03,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,132,ACTIVE,Cleared area and reset safety circuit
2026-07-01T09:16:15,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,104,CLEARED,Replaced insert and reset tool life counter
2026-07-01T09:16:29,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,174,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T09:16:42,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,34,ACTIVE,Refilled coolant and restarted pump
2026-07-01T09:16:52,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,127,ACKNOWLEDGED,Cleared area and reset safety circuit
2026-07-01T09:17:01,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,171,CLEARED,Replaced insert and reset tool life counter
2026-07-01T09:17:10,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,20,ACKNOWLEDGED,Paused cycle and checked tool engagement
2026-07-01T09:22:40,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,213,CLEARED,Refilled coolant and restarted pump
2026-07-01T09:25:54,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,109,ACTIVE,Replaced insert and reset tool life counter
2026-07-01T09:26:07,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,321,CLEARED,Cleared area and reset safety circuit
2026-07-01T09:26:18,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,138,ACKNOWLEDGED,Inspected oil line and topped up reservoir
2026-07-01T09:26:28,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,159,ACKNOWLEDGED,Replaced insert and reset tool life counter
2026-07-01T09:26:40,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,170,CLEARED,Inspected oil line and topped up reservoir
2026-07-01T09:26:51,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,205,CLEARED,Paused cycle and checked tool engagement
2026-07-01T09:27:00,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,20,ACKNOWLEDGED,Replaced insert and reset tool life counter
2026-07-01T09:27:12,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,20,ACTIVE,Refilled coolant and restarted pump
2026-07-01T09:27:24,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,283,ACKNOWLEDGED,Rehomed axis and verified servo load
2026-07-01T09:27:39,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,211,ACKNOWLEDGED,Replaced insert and reset tool life counter
2026-07-01T09:27:52,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,24,CLEARED,Inspected oil line and topped up reservoir
2026-07-01T09:28:06,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,254,CLEARED,Replaced insert and reset tool life counter
2026-07-01T09:28:19,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,67,ACKNOWLEDGED,Refilled coolant and restarted pump
2026-07-01T09:28:29,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,120,CLEARED,Checked pump and confirmed pressure recovery
2026-07-01T09:28:38,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,103,ACKNOWLEDGED,Refilled coolant and restarted pump
2026-07-01T09:31:17,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,367,ACTIVE,Inspected oil line and topped up reservoir
2026-07-01T09:33:58,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,20,ACKNOWLEDGED,Inspected oil line and topped up reservoir
2026-07-01T09:36:11,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,165,CLEARED,Paused cycle and checked tool engagement
2026-07-01T09:38:06,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,123,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T09:54:25,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,181,CLEARED,Replaced insert and reset tool life counter
2026-07-01T09:55:23,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,335,CLEARED,Replaced insert and reset tool life counter
2026-07-01T09:58:43,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,108,CLEARED,Refilled coolant and restarted pump
2026-07-01T10:07:47,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,100,CLEARED,Paused cycle and checked tool engagement
2026-07-01T10:19:21,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,140,CLEARED,Checked pump and confirmed pressure recovery
2026-07-01T10:19:43,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,216,ACTIVE,Refilled coolant and restarted pump
2026-07-01T10:27:04,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,408,CLEARED,Inspected oil line and topped up reservoir
2026-07-01T10:41:26,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,241,ACTIVE,Rehomed axis and verified servo load
2026-07-01T10:52:17,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,188,ACKNOWLEDGED,Cleared area and reset safety circuit
2026-07-01T10:59:24,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,312,ACTIVE,Cleared area and reset safety circuit
2026-07-01T11:11:29,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,201,CLEARED,Refilled coolant and restarted pump
2026-07-01T11:32:17,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,182,ACTIVE,Replaced insert and reset tool life counter
2026-07-01T11:36:44,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,38,ACTIVE,Rehomed axis and verified servo load
2026-07-01T11:44:58,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,81,ACTIVE,Cleared area and reset safety circuit
2026-07-01T11:53:16,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,255,ACTIVE,Cleared area and reset safety circuit
2026-07-01T11:53:56,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,239,CLEARED,Replaced insert and reset tool life counter
2026-07-01T11:56:34,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,51,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T12:04:10,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,79,ACKNOWLEDGED,Checked pump and confirmed pressure recovery
2026-07-01T12:22:02,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,20,ACKNOWLEDGED,Paused cycle and checked tool engagement
2026-07-01T12:37:01,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,69,CLEARED,Checked pump and confirmed pressure recovery
2026-07-01T12:41:16,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,424,ACKNOWLEDGED,Replaced insert and reset tool life counter
2026-07-01T12:48:16,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,149,ACKNOWLEDGED,Cleared area and reset safety circuit
2026-07-01T12:49:48,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,191,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T13:10:27,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,20,ACTIVE,Replaced insert and reset tool life counter
2026-07-01T13:11:12,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,70,CLEARED,Refilled coolant and restarted pump
2026-07-01T13:14:32,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,319,CLEARED,Paused cycle and checked tool engagement
2026-07-01T13:15:06,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,77,ACTIVE,Refilled coolant and restarted pump
2026-07-01T13:33:53,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,80,ACTIVE,Refilled coolant and restarted pump
2026-07-01T13:34:16,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,20,ACTIVE,Checked pump and confirmed pressure recovery
2026-07-01T13:44:01,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,20,ACTIVE,Cleared area and reset safety circuit
2026-07-01T13:47:42,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,73,CLEARED,Inspected oil line and topped up reservoir
2026-07-01T14:16:49,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,43,ACKNOWLEDGED,Paused cycle and checked tool engagement
2026-07-01T14:24:03,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,41,ACKNOWLEDGED,Replaced insert and reset tool life counter
2026-07-01T14:25:26,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,374,ACKNOWLEDGED,Checked pump and confirmed pressure recovery
2026-07-01T14:27:32,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,106,CLEARED,Refilled coolant and restarted pump
2026-07-01T14:29:23,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,313,CLEARED,Rehomed axis and verified servo load
2026-07-01T14:31:59,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,188,CLEARED,Replaced insert and reset tool life counter
2026-07-01T14:43:44,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,192,ACTIVE,Checked pump and confirmed pressure recovery
2026-07-01T15:03:09,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,183,ACTIVE,Cleared area and reset safety circuit
2026-07-01T15:04:34,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,181,ACKNOWLEDGED,Replaced insert and reset tool life counter
2026-07-01T15:12:19,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,196,CLEARED,Paused cycle and checked tool engagement
2026-07-01T15:12:56,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,171,CLEARED,Paused cycle and checked tool engagement
2026-07-01T15:17:12,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,349,ACKNOWLEDGED,Replaced insert and reset tool life counter
2026-07-01T15:21:00,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,108,ACTIVE,Rehomed axis and verified servo load
2026-07-01T15:21:34,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,350,ACKNOWLEDGED,Refilled coolant and restarted pump
2026-07-01T15:30:06,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,419,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T15:40:26,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,292,CLEARED,Paused cycle and checked tool engagement
2026-07-01T15:45:40,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,91,ACKNOWLEDGED,Replaced insert and reset tool life counter
2026-07-01T15:48:06,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,382,CLEARED,Rehomed axis and verified servo load
2026-07-01T15:59:57,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,168,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T16:04:52,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,263,ACKNOWLEDGED,Cleared area and reset safety circuit
2026-07-01T16:07:59,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,180,ACKNOWLEDGED,Cleared area and reset safety circuit
2026-07-01T16:19:57,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,105,ACTIVE,Refilled coolant and restarted pump
2026-07-01T16:20:58,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,71,ACTIVE,Cleared area and reset safety circuit
2026-07-01T16:21:28,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,131,ACKNOWLEDGED,Refilled coolant and restarted pump
2026-07-01T16:39:23,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,252,CLEARED,Inspected oil line and topped up reservoir
2026-07-01T16:48:14,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,47,CLEARED,Rehomed axis and verified servo load
2026-07-01T16:51:14,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,141,ACTIVE,Cleared area and reset safety circuit
2026-07-01T16:56:37,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,81,ACKNOWLEDGED,Cleared area and reset safety circuit
2026-07-01T16:56:51,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,316,ACKNOWLEDGED,Rehomed axis and verified servo load
2026-07-01T17:10:56,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,83,CLEARED,Checked pump and confirmed pressure recovery
2026-07-01T17:11:05,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,47,ACTIVE,Inspected oil line and topped up reservoir
2026-07-01T17:11:12,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,20,ACTIVE,Refilled coolant and restarted pump
2026-07-01T17:11:26,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,276,CLEARED,Refilled coolant and restarted pump
2026-07-01T17:11:38,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,227,CLEARED,Refilled coolant and restarted pump
2026-07-01T17:11:49,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,193,ACKNOWLEDGED,Replaced insert and reset tool life counter
2026-07-01T17:11:52,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,100,ACTIVE,Refilled coolant and restarted pump
2026-07-01T17:12:04,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,181,ACKNOWLEDGED,Refilled coolant and restarted pump
2026-07-01T17:12:17,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,318,CLEARED,Inspected oil line and topped up reservoir
2026-07-01T17:12:29,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,35,ACKNOWLEDGED,Paused cycle and checked tool engagement
2026-07-01T17:12:35,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,86,ACKNOWLEDGED,Paused cycle and checked tool engagement
2026-07-01T17:12:50,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,253,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T17:13:08,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,53,ACTIVE,Refilled coolant and restarted pump
2026-07-01T17:13:23,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,195,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T17:13:34,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,260,ACKNOWLEDGED,Cleared area and reset safety circuit
2026-07-01T17:13:51,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,90,ACTIVE,Checked pump and confirmed pressure recovery
2026-07-01T17:14:52,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,321,ACKNOWLEDGED,Inspected oil line and topped up reservoir
2026-07-01T17:16:01,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,112,CLEARED,Refilled coolant and restarted pump
2026-07-01T17:23:46,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,75,ACKNOWLEDGED,Checked pump and confirmed pressure recovery
2026-07-01T17:34:30,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,143,ACKNOWLEDGED,Checked pump and confirmed pressure recovery
2026-07-01T17:34:59,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,55,CLEARED,Cleared area and reset safety circuit
2026-07-01T17:38:24,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,168,ACKNOWLEDGED,Paused cycle and checked tool engagement
2026-07-01T17:39:18,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,181,CLEARED,Checked pump and confirmed pressure recovery
2026-07-01T17:51:34,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,161,ACTIVE,Cleared area and reset safety circuit
2026-07-01T17:52:19,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,215,ACTIVE,Checked pump and confirmed pressure recovery
2026-07-01T17:53:27,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,80,CLEARED,Paused cycle and checked tool engagement
2026-07-01T17:59:25,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,401,ACKNOWLEDGED,Rehomed axis and verified servo load
2026-07-01T18:13:16,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,20,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T18:25:46,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,194,CLEARED,Checked pump and confirmed pressure recovery
2026-07-01T18:31:28,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,67,CLEARED,Rehomed axis and verified servo load
2026-07-01T18:41:42,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,72,ACKNOWLEDGED,Checked pump and confirmed pressure recovery
2026-07-01T18:43:24,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,410,ACTIVE,Cleared area and reset safety circuit
2026-07-01T18:46:55,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,175,ACTIVE,Cleared area and reset safety circuit
2026-07-01T18:47:10,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,20,CLEARED,Cleared area and reset safety circuit
2026-07-01T18:47:18,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,133,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T18:47:27,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,113,ACTIVE,Replaced insert and reset tool life counter
2026-07-01T18:47:39,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,139,ACKNOWLEDGED,Cleared area and reset safety circuit
2026-07-01T18:47:51,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,258,ACKNOWLEDGED,Refilled coolant and restarted pump
2026-07-01T18:48:03,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,275,CLEARED,Refilled coolant and restarted pump
2026-07-01T18:48:13,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,75,CLEARED,Paused cycle and checked tool engagement
2026-07-01T18:49:45,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,133,CLEARED,Inspected oil line and topped up reservoir
2026-07-01T18:50:21,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,20,ACKNOWLEDGED,Checked pump and confirmed pressure recovery
2026-07-01T19:04:20,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,258,ACTIVE,Cleared area and reset safety circuit
2026-07-01T19:05:21,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,178,CLEARED,Rehomed axis and verified servo load
2026-07-01T19:15:28,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,175,ACTIVE,Rehomed axis and verified servo load
2026-07-01T19:25:30,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,20,CLEARED,Rehomed axis and verified servo load
2026-07-01T19:29:35,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,176,CLEARED,Checked pump and confirmed pressure recovery
2026-07-01T19:30:43,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,172,CLEARED,Replaced insert and reset tool life counter
2026-07-01T19:32:13,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,481,ACTIVE,Inspected oil line and topped up reservoir
2026-07-01T19:35:47,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,316,CLEARED,Cleared area and reset safety circuit
